user_id department_id embbedding_id
0 1 281
1 1 209
2 21 62
3 21 120
4 21 63
5 25 10
6 25 44
7 14 114
8 14 320
9 14 301
10 9 228
11 14 102
12 14 167
13 26 7
14 4 97
15 17 203
16 34 103
17 1 47
18 1 178
19 14 126
20 9 108
21 9 24
22 9 616
23 11 99
24 11 296
25 11 345
26 11 343
27 11 148
28 11 54
29 11 173
30 11 132
31 11 225
32 11 341
33 11 403
34 11 384
35 11 168
36 11 258
37 11 329
38 11 236
39 11 333
40 11 165
41 5 69
42 34 113
43 14 637
44 14 52
45 17 226
46 17 112
47 10 221
48 10 166
49 36 622
50 37 588
51 5 130
52 7 452
53 4 283
54 22 215
55 22 274
56 21 234
57 21 133
58 21 35
59 21 197
60 7 182
61 7 124
62 36 4
63 21 36
64 25 11
65 4 64
66 8 336
67 15 684
68 15 230
69 15 138
70 37 557
71 37 583
72 9 688
73 1 428
74 1 68
75 10 553
76 10 492
77 3 439
78 3 468
79 3 267
80 29 118
81 15 45
82 36 1
83 36 19
84 37 30
85 1 311
86 36 5
87 34 26
88 20 362
89 20 122
90 8 420
91 15 400
92 9 260
93 4 75
94 5 264
95 4 233
96 20 40
97 16 473
98 16 467
99 16 412
100 16 290
101 16 413
102 38 496
103 7 206
104 7 363
105 34 16
106 38 23
107 36 3
108 8 279
109 27 775
110 8 676
111 8 706
112 8 535
113 10 76
114 10 22
115 13 33
116 13 91
117 6 555
118 26 378
119 10 645
120 1 582
121 36 2
122 0 443
123 13 338
124 16 257
125 16 404
126 22 337
127 6 387
128 5 17
129 4 13
130 0 316
131 28 162
132 28 150
133 4 48
134 2 466
135 13 312
136 13 416
137 21 79
138 21 350
139 17 300
140 17 288
141 14 88
142 36 25
143 8 220
144 40 626
145 35 127
146 15 392
147 23 207
148 0 541
149 0 386
150 7 304
151 10 269
152 37 121
153 27 193
154 35 194
155 35 100
156 0 463
157 0 96
158 19 227
159 19 315
160 36 0
161 14 277
162 37 140
163 24 191
164 17 231
165 13 42
166 36 8
167 4 125
168 4 101
169 13 43
170 13 61
171 10 271
172 4 66
173 38 87
174 32 116
175 32 655
176 4 342
177 1 195
178 0 331
179 0 180
180 0 85
181 7 156
182 7 240
183 4 9
184 15 95
185 16 480
186 40 391
187 15 177
188 15 272
189 15 104
190 15 340
191 0 146
192 21 500
193 21 433
194 21 245
195 21 322
196 5 346
197 4 323
198 4 307
199 4 211
200 4 330
201 4 175
202 4 730
203 4 295
204 5 318
205 5 359
206 4 157
207 4 397
208 22 198
209 19 78
210 19 80
211 22 15
212 34 41
213 14 229
214 0 201
215 1 70
216 17 408
217 37 449
218 1 134
219 1 549
220 1 575
221 1 154
222 1 129
223 1 190
224 1 624
225 1 435
226 1 142
227 1 572
228 1 493
229 10 361
230 23 494
231 0 143
232 4 67
233 19 137
234 19 216
235 19 465
236 19 208
237 19 380
238 19 266
239 19 656
240 19 522
241 19 505
242 19 347
243 19 200
244 19 436
245 10 202
246 14 561
247 14 569
248 1 440
249 14 12
250 7 344
251 13 308
252 20 39
253 31 268
254 40 90
255 6 141
256 4 34
257 0 530
258 8 160
259 9 383
260 9 513
261 10 238
262 0 422
263 10 144
264 14 313
265 14 303
266 14 360
267 14 540
269 17 84
270 4 593
271 28 128
272 17 222
273 17 376
274 17 476
275 4 328
276 4 687
277 0 504
278 0 176
279 23 707
280 4 38
281 21 159
282 36 27
283 36 20
284 0 262
285 22 71
286 21 248
287 15 486
288 37 314
289 0 694
290 4 86
291 4 421
292 4 309
293 14 517
294 4 477
295 7 82
296 7 115
297 1 529
298 15 578
299 15 472
300 38 105
301 26 32
302 20 489
303 20 55
304 20 377
305 21 155
306 9 217
307 1 488
308 1 293
309 1 255
310 1 358
311 1 325
312 1 381
313 1 576
314 1 205
315 1 703
316 1 253
317 1 458
318 10 158
319 19 669
320 7 218
321 7 170
322 17 423
323 16 332
324 14 532
325 9 410
326 9 285
327 9 356
328 8 558
329 8 60
330 13 677
332 14 390
333 10 28
334 17 525
335 17 450
336 13 324
337 13 299
338 13 151
339 13 164
340 2 51
341 1 612
342 0 106
343 0 514
344 0 563
345 0 434
346 0 414
347 0 455
348 0 805
349 0 491
350 0 462
351 0 153
352 0 431
353 16 261
354 16 661
355 27 192
356 8 214
357 8 237
358 14 188
359 14 351
360 14 394
361 10 219
362 14 131
363 35 169
364 37 679
365 14 65
366 36 53
367 10 98
368 7 239
369 20 697
370 10 319
371 16 73
372 36 385
373 36 246
374 14 511
375 8 136
376 7 204
377 7 18
378 7 457
379 7 184
380 7 280
381 7 335
382 7 777
383 7 761
384 7 574
385 7 487
386 7 710
387 7 286
388 7 418
389 7 252
390 7 247
391 7 526
392 7 516
393 7 81
394 7 354
395 7 284
396 7 603
397 7 306
398 7 804
399 4 543
400 9 305
401 4 212
402 0 698
403 4 546
404 16 83
405 38 37
406 14 398
407 14 417
408 21 174
409 26 77
410 27 650
411 28 49
412 21 119
413 4 401
414 1 609
415 1 782
416 9 838
417 10 139
418 15 379
419 4 57
420 26 21
421 14 213
422 35 251
423 10 297
424 34 29
425 4 317
426 4 161
428 17 406
429 17 352
430 14 186
431 37 503
432 37 728
433 37 478
434 34 6
435 6 596
436 13 831
437 13 294
438 13 89
439 13 819
440 4 123
441 14 172
442 10 438
443 10 189
444 10 364
445 3 382
446 17 442
447 17 367
448 17 287
449 1 882
450 4 109
451 14 618
452 14 275
453 6 353
454 27 683
455 22 149
456 21 876
457 4 411
458 4 224
459 1 117
460 34 199
461 17 456
462 30 357
463 30 935
464 4 235
465 23 595
466 14 187
467 15 460
468 1 499
469 22 564
471 31 607
472 6 717
473 15 50
474 15 93
475 8 851
476 15 695
477 8 648
478 8 278
479 1 788
480 15 243
481 22 242
482 2 244
483 3 249
484 4 520
485 10 402
486 4 110
487 14 587
488 14 646
489 25 326
490 6 273
491 6 531
492 40 373
493 4 74
494 36 46
495 23 94
496 14 490
497 3 567
498 14 72
499 14 210
500 14 502
501 14 599
502 14 470
503 14 638
504 14 270
505 14 621
506 14 145
507 31 776
508 15 327
509 15 179
510 14 523
511 0 482
512 23 803
513 35 181
514 8 670
515 4 250
516 1 602
517 1 629
518 35 111
519 23 501
520 21 185
521 2 570
522 4 817
523 4 524
524 9 888
525 14 256
526 4 147
527 10 566
528 25 671
529 14 321
530 14 663
531 3 196
532 21 533
533 35 14
534 4 760
535 9 672
536 15 608
537 6 254
538 9 674
539 3 699
540 15 675
541 23 508
542 4 545
543 4 263
544 4 388
545 11 446
546 35 56
547 10 399
548 6 310
549 15 92
550 15 419
551 15 519
552 22 276
553 2 689
554 2 641
555 14 579
556 4 712
557 3 542
558 14 631
559 27 693
560 31 171
561 34 949
562 4 370
563 4 527
564 19 349
565 14 630
566 14 483
567 4 784
568 4 395
569 14 289
570 14 534
571 21 515
572 4 461
573 14 536
574 4 797
575 0 642
576 4 538
577 27 611
578 27 905
