user_id department_id embbedding_id
0 1 271
1 1 210
2 19 61
3 19 124
4 19 63
5 23 9
6 23 44
7 13 116
8 13 323
9 13 299
10 9 226
11 13 101
12 13 165
13 24 7
14 4 92
15 16 207
16 31 104
17 1 47
18 1 176
19 13 127
20 9 106
21 9 24
22 9 615
23 11 99
24 11 294
25 11 346
26 11 345
27 11 148
28 11 54
29 11 174
30 11 133
31 11 224
32 11 342
33 11 403
34 11 383
35 11 168
36 11 257
37 11 322
38 11 236
39 11 332
40 11 164
41 5 66
42 31 113
43 13 637
44 13 52
45 16 230
46 16 111
47 10 220
48 10 166
49 33 625
50 34 589
51 5 130
52 7 441
53 4 281
54 20 217
55 20 273
56 19 234
57 19 132
58 19 35
59 19 201
60 7 180
61 7 121
62 33 5
63 19 36
64 23 11
65 4 67
66 8 325
67 14 677
68 14 233
69 14 141
70 34 551
71 34 585
72 9 688
73 1 430
74 1 69
75 10 553
76 10 492
77 3 446
78 3 479
79 3 263
80 27 120
81 14 46
82 33 2
83 33 20
84 34 30
85 1 308
86 33 4
87 31 26
88 18 361
89 18 118
90 8 418
91 14 389
92 9 260
93 4 75
94 5 262
95 4 231
96 18 42
97 15 472
98 15 476
99 15 422
100 15 291
101 15 405
102 35 498
103 7 205
104 7 362
105 31 17
106 35 21
107 33 3
108 8 277
109 25 764
110 8 678
111 8 704
112 8 530
113 10 77
114 10 22
115 12 33
116 12 93
117 6 542
118 24 379
119 10 655
120 1 576
121 33 1
122 0 440
123 12 333
124 15 261
125 15 408
126 20 344
127 6 392
128 5 16
129 4 13
130 0 320
131 26 161
132 26 151
133 4 48
134 2 466
135 12 315
136 12 424
137 19 76
138 19 356
139 16 300
140 16 290
141 13 88
142 33 25
143 8 219
144 36 626
145 32 125
146 14 396
147 21 206
148 0 541
149 0 397
150 7 306
151 10 269
152 34 126
153 25 204
154 32 196
155 32 100
156 0 460
157 0 98
158 17 223
159 17 312
160 33 0
161 13 275
162 34 140
163 22 186
164 16 228
165 12 43
166 33 8
167 4 123
168 4 102
169 12 40
170 12 62
171 10 267
172 4 68
173 35 87
174 30 114
175 30 659
176 4 340
177 1 191
178 0 329
179 0 183
180 0 86
181 7 155
182 7 237
183 4 10
184 14 91
185 15 485
186 36 388
187 14 178
188 14 278
189 14 103
190 14 334
191 0 145
192 19 503
193 19 436
194 19 241
195 19 321
196 5 343
197 4 319
198 4 313
199 4 213
200 4 337
201 4 172
202 4 719
203 4 297
204 5 327
205 5 364
206 4 157
207 4 401
208 20 200
209 17 80
210 17 78
211 20 15
212 31 41
213 13 229
214 0 194
215 1 70
216 16 414
217 34 465
218 1 134
219 1 543
220 1 578
221 1 152
222 1 128
223 1 190
224 1 614
225 1 428
226 1 144
227 1 584
228 1 491
229 10 359
230 21 502
231 0 138
232 4 64
233 17 137
234 17 212
235 17 449
236 17 209
237 17 381
238 17 265
239 17 649
240 17 522
241 17 499
242 17 347
243 17 192
244 17 427
245 10 199
246 13 560
247 13 559
248 1 447
249 13 12
250 7 341
251 12 310
252 18 39
253 29 268
254 36 89
255 6 142
256 4 34
257 0 527
258 8 160
259 9 382
260 9 512
261 10 240
262 0 420
263 10 143
264 13 309
265 13 303
266 13 357
267 13 540
269 16 82
270 4 594
271 26 129
272 16 221
273 16 376
274 16 473
275 4 326
276 4 679
277 0 496
278 0 177
279 21 701
280 4 38
281 19 159
282 33 27
283 33 19
284 0 259
285 20 71
286 19 250
287 14 494
288 34 311
289 0 691
